original,semantic,context
"{'id': 'SP-31', 'question': ""A horse travels a certain distance each day. Strangely enough, two of its legs travel 30 miles each day and the other two legs travel nearly 31 miles. It would seem that two of the horse's legs must be one mile ahead of the other two legs, but of course, this can't be true, since the horse is normal. How is this possible?"", 'answer': 'The horse operates a mill and travels in a circular clockwise direction. The two outside legs will travel a greater distance than the two inside legs.', 'label': 0, 'choices': ['The horse operates a mill and travels in a circular clockwise direction. The two outside legs will travel a greater distance than the two inside legs.', 'The measurements are taken from different reference points.', 'Because the Earth is not a perfect sphere.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-31_SR', 'question': 'Every day, a horse covers a particular distance. Strangely, two of its legs cover 30 miles daily while the other two cover about 31 miles. Given that the horse is typical, it would seem that two of its legs must be a mile ahead of the other two. However, this is obviously not the case. How is that even possible?', 'answer': 'The horse operates a mill and travels in a circular clockwise direction. The two outside legs will travel a greater distance than the two inside legs.', 'label': 0, 'choices': ['The horse operates a mill and travels in a circular clockwise direction. The two outside legs will travel a greater distance than the two inside legs.', 'Because the Earth is not a perfect sphere.', 'The measurements are taken from different reference points.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-31_CR', 'question': 'Each and every day, a man gets up early to work out. He always spends a few hours running about his apartments. He surprises himself by discovering that, after a month of hard training, his left leg has acquired\xa0much more muscle than his right. How is that feasible since the man is normal and healthy?', 'answer': 'The man ran in a circular clockwise direction around his apartment. The left leg traveled a greater distance than inside leg.', 'label': 2, 'choices': ['He may have a subtle bias or preference for using his left leg more than his right. ', 'Because the Earth is not a perfect sphere.', 'The man ran in a circular clockwise direction around his apartment. The left leg traveled a greater distance than inside leg.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-32', 'question': 'A man walking along a railroad track sees a train laundering at high speed towards him. Instead of immediately jumping off the track, he charges directly at the train for about ten feet and only then gets off the track. Why?', 'answer': ""The man was on a bridge when he first saw the train so he couldn't jump off the track immediately."", 'label': 1, 'choices': [""By moving towards the oncoming train, the man's brain interprets the change in distance and relative motion as a decrease in speed."", ""The man was on a bridge when he first saw the train so he couldn't jump off the track immediately."", 'By moving towards the train momentarily, the man minimizes the risk of being hit directly by the front of the train.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-32_SR', 'question': 'A train is approaching a man who is strolling down a railroad track quickly. He charges directly at the train for roughly 10 feet before finally jumping off the track instead of doing so right away.\xa0Why?', 'answer': ""The man was on a bridge when he first saw the train so he couldn't jump off the track immediately."", 'label': 1, 'choices': [""By moving towards the oncoming train, the man's brain interprets the change in distance and relative motion as a decrease in speed."", ""The man was on a bridge when he first saw the train so he couldn't jump off the track immediately."", 'By moving towards the train momentarily, the man minimizes the risk of being hit directly by the front of the train.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-32_CR', 'question': 'A woman hiking along a narrow mountain path notices a fast-approaching grizzly bear. Instead of immediately stepping off the path, she sprints directly towards the bear for about twenty feet and only then steps off the path. Why?', 'answer': ""The woman was on a cliff edge when she first saw the bear so she couldn't step off the path immediately."", 'label': 1, 'choices': [""By moving towards the oncoming bear, the woman's brain interprets the change in distance and relative motion as a decrease in speed."", ""The woman was on a cliff edge when she first saw the bear so she couldn't step off the path immediately."", 'By moving towards the bear momentarily, the woman minimizes the risk of being catch by the bear.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}"
"{'id': 'SP-33', 'question': 'A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?', 'answer': 'The stations and his home are on a hill, which allows him to ride down easily on his scooter.', 'label': 2, 'choices': ['The second train station is too far away.', 'The first train station is too far away.', 'The stations and his home are on a hill, which allows him to ride down easily on his scooter.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-33_SR', 'question': 'A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?', 'answer': 'The stations and his home are on a hill, which allows him to ride down easily on his scooter.', 'label': 0, 'choices': ['The stations and his home are on a hill, which allows him to ride down easily on his scooter.', 'The second train station is too far away.', 'The first train station is too far away.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-33_CR', 'question': 'An office worker usually walks to work daily. There are two coffee shops on his route; the first one is half a mile away from his house and the second one is a mile away in the opposite direction. He always stops at the first coffee shop in the morning and always visits the second one in the evening on his way back home. Why?', 'answer': 'The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home.', 'label': 2, 'choices': ['The first coffee shop is too far away.', 'The second coffee shop is too far away.', 'The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-34', 'question': 'There were 5 men traveling down a road and it started to rain and 4 men sped up, the 5th did not, but they all arrived at the same place at the same time but all of them were wet besides the 5th. How is that possible?', 'answer': 'He was dead and in a coffin.', 'label': 1, 'choices': ['The 5th man walked slowly to dodge the raining.', 'He was dead and in a coffin.', 'The 5th man beated them at the end.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-34_SR', 'question': 'Five men were traveling down a road when it began to rain. Four of the guys sped up, but the fifth did not, but they all reached at the same location at the same time, and all but the fifth were wet. How is that even doable?', 'answer': 'He was dead and in a coffin.', 'label': 0, 'choices': ['He was dead and in a coffin.', 'The 5th man walked slowly to dodge the raining.', 'The 5th man beated them at the end.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-34_CR', 'question': 'Six women were hiking on a trail when a sudden snowfall began. Five of the women hurried along, but the sixth did not. Still, they all reached the cabin at the same time, and all but the sixth were cold. How is that possible?', 'answer': 'The sixth woman was in a photograph that one of the others was carrying.', 'label': 2, 'choices': ['The 6th woman walked slowly  to dodge the snow.', 'The 6th woman beated them at the end.', 'The sixth woman was in a photograph that one of the others was carrying.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-35', 'question': ""Three men sitting in a small motorboat one meter from the shoreline. The first is afraid of water, the second is afraid of drowning, and the third is afraid of sharks. The boat's motor is not operational and there is nothing to row with. How do they get to the shoreline?"", 'answer': 'They can just walk onto its as the boat is one-meter inland.', 'label': 2, 'choices': ['They can wait until water level is high enough, they can safely step out onto the shoreline. ', '\nThey can wait until the water evaporates completely.', 'They can just walk onto its as the boat is one-meter inland.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-35_SR', 'question': ""A small motorboat with three men inside is parked one meter from the shore. The first fears being submerged in water, the second fears drowning, and the third fears sharks. There is nothing to row with and the boat's motor is not working. How do they reach the coast?"", 'answer': 'They can just walk onto its as the boat is one-meter inland.', 'label': 1, 'choices': ['They can wait until water level is high enough, they can safely step out onto the shoreline. ', 'They can just walk onto its as the boat is one-meter inland.', '\nThey can wait until the water evaporates completely.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-35_CR', 'question': ""A man accidentally stumbled and fell into a 1-meter-deep pool. He couldn't swim at all, and there were no other people around him, but he was fine at the end. Why?"", 'answer': 'He can just stand up as the pool is only 1 meter deep.', 'label': 0, 'choices': ['He can just stand up as the pool is only 1 meter deep.', 'He can wait until water level is high enough, he can safely step out of the pool. ', '\nHe can wait until the water evaporates completely.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}"
"{'id': 'SP-36', 'question': ""A father and son were in a car accident where the father was killed. The ambulance brought the son to the hospital. He needed immediate surgery. In the operating room, a doctor came in and looked at the little boy and said I can't operate on him he is my son. Who is the doctor?"", 'answer': 'Because the doctor is the mother of the son.', 'label': 2, 'choices': ['The son calls the police for help to save his father.', 'The son has two fathers.', 'Because the doctor is the mother of the son.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-36_SR', 'question': 'A car accident involving a father and son resulted in the death of the father. The son was transported to the hospital by ambulance. He required surgery right away. A doctor entered the operating room and said, ""I can\'t operate on him. He\'s my son."" after taking one look at the young patient. Why?', 'answer': 'Because the doctor is the mother of the son.', 'label': 0, 'choices': ['Because the doctor is the mother of the son.', 'The son has two fathers.', 'The son calls the police for help to save his father.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-36_CR', 'question': 'One the final exam day, Tom\'s father send him to one classroom. A teacher came over and said "" Tom can not take exam under my supervise as he is my son."" Then Tom is asked to switch to another room. Why? ', 'answer': 'Because the teacher is the mother of the Tom.', 'label': 0, 'choices': ['Because the teacher is the mother of the Tom.', ""Tom's father suddenly realizing that he was assigned as the supervisor."", 'The son has two fathers.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-37', 'question': ""A beggar's brother died, but the man who died had no brother. How could that be?"", 'answer': ""The beggar was the man's sister."", 'label': 1, 'choices': [""The bagger's brother is a murderer."", ""The beggar was the man's sister."", 'The man is angry for his brother being a beggar and cut ties with him. ', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-37_SR', 'question': 'The brother of a beggar passed away, but the deceased had no brothers. How is that possible?', 'answer': ""The beggar was the man's sister."", 'label': 2, 'choices': [""The bagger's brother is a murderer."", 'The man is angry for his brother being a beggar and cut ties with him. ', ""The beggar was the man's sister."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-37_CR', 'question': 'The brother of a police passed away, but the dead man actually had no brother. How is that possible', 'answer': ""The police was the man's sister."", 'label': 2, 'choices': [""the police's brother is a murderer."", 'The man is a criminal and too ashamed to admit he has a police brother.', ""The police was the man's sister."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-38', 'question': 'I dig out tiny caves and store gold and silver in them. I also build bridges of silver and make crowns of gold. They are the smallest you could imagine. Sooner or later everybody needs my help, yet many people are afraid to let me help them. Why?', 'answer': 'I am a dentist.', 'label': 1, 'choices': ['I am a theif.', 'I am a dentist.', 'I am a miner', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-38_SR', 'question': 'I excavate little caves and keep my gold and silver there. I also create gold crowns and silver bridges. They are the tiniest things you can imagine. Everyone will eventually require my assistance, but many people are reluctant to accept it. Why?', 'answer': 'I am a dentist.', 'label': 0, 'choices': ['I am a dentist.', 'I am a theif.', 'I am a miner', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-38_CR', 'question': 'I break down walls and devour towers. I consume iron and corrode steel, but still, I am essential to all. Sometimes, people desire me, yet they fear my uncontrolled presence. What am I?', 'answer': ' I am oxygen.', 'label': 0, 'choices': [' I am oxygen.', ' I am sound.', ' I am sunshine.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-39', 'question': 'How could a cowboy ride into town on Friday, stay two days, and ride out on Wednesday?', 'answer': 'His horse is named Wednesday.', 'label': 1, 'choices': ['Friday and Saturday are holidays.', 'His horse is named Wednesday.', 'While in town, he stays in bed for two days.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-39_SR', 'question': 'How was it possible for a cowboy to arrive in town on Friday, stay for two days, and leave on Wednesday?', 'answer': 'His horse is named Wednesday.', 'label': 0, 'choices': ['His horse is named Wednesday.', 'While in town, he stays in bed for two days.', 'Friday and Saturday are holidays.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-39_CR', 'question': 'How can a pilot take off in Los Angeles on Tuesday, fly for 48 hours, and land in Tokyo on Tuesday?', 'answer': ""The pilot's airplane is named Tuesday."", 'label': 1, 'choices': ['He fiy straightly for 24 hours and fly quickly for the hours left.', ""The pilot's airplane is named Tuesday."", 'There was a one-week long holidays.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}"
"{'id': 'SP-40', 'question': ""There are three doors. In each door is a way to die. The first door has fire and lava. The second door has lions that haven't eaten in 5 years. In the third door, there is a 1,000-foot drop into alligator. Which door will you likely survive?"", 'answer': ""The second door with the lions. Since they haven't eaten in 5 years they will have died."", 'label': 2, 'choices': [""The third door, the alligator can be tierd and won't eat people."", 'The first door, the first door is destroyed and you can see the fire in it.', ""The second door with the lions. Since they haven't eaten in 5 years they will have died."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-40_SR', 'question': ""Three doors are present. Every door has a way to exit. The first door has lava and fire inside. Lions behind the second door haven't eaten in five years. There is a 1,000-foot drop into alligator inside the third door. Which door will you probably get through?"", 'answer': ""The second door with the lions. Since they haven't eaten in 5 years they will have died."", 'label': 1, 'choices': [""The third door, the alligator can be tierd and won't eat people."", ""The second door with the lions. Since they haven't eaten in 5 years they will have died."", 'The first door, the first door is destroyed and you can see the fire in it.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-40_CR', 'question': ""The king's horse was bitten by a tiger one day while he was out hunting. The king was so furious that he chose to punish the tiger by sending him to a cell and depriving him of food. One year later, the bishop offended the king with a joke. The king imprisoned the bishop for a month in the same cell as a tiger. But a month later, the bishop was completely unharmed and free. How is that even doable? "", 'answer': ""Since the tiger haven't eaten in one year it will have died."", 'label': 0, 'choices': [""Since the tiger haven't eaten in one year it will have died."", 'The bishop is a good person.', 'Tiger eats the bishop slowly and bishop gets recovered everyday.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-41', 'question': 'A plane crashed and every single person on board this flight was killed, yet, there were survivors. Explain how?', 'answer': 'The married people lived and the singles died.', 'label': 1, 'choices': [""Some person don't want to die and become suvivors."", 'The married people lived and the singles died.', 'The survivors could refer to individuals who were not on the plane.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-41_SR', 'question': 'Despite the fact that the entire flight was lost in a plane crash and each single person is killed, there were survivors. Describe how.', 'answer': 'The married people lived and the singles died.', 'label': 2, 'choices': ['The survivors could refer to individuals who were not on the plane.', ""Some person don't want to die and become suvivors."", 'The married people lived and the singles died.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-41_CR', 'question': 'Tom received an invitation to a holiday party. He was shocked to discover that no single person was\xa0at the party. The party is still filled with singing, though. How is that even doable?', 'answer': 'All people at the party except Tom is married.', 'label': 0, 'choices': ['All people at the party except Tom is married.', 'The singing is came from the food on party.', 'The music is not good as normal people.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-42', 'question': ""A fireman is running to get a net under a lady who looks like she might jump off the balcony of her 20 story apartment building. There is nothing below her except a 20 story fall. The fireman is still 100 yards away when she falls and can't nearly get there in time. The woman is not hurt more than a cruise. How is that possible?"", 'answer': 'She fell back into her apartment, jumping from the balcony into the inside.', 'label': 2, 'choices': ['The woman is strong enough to not get hurt from falling.', 'The fireman is well exercised that he reach the woman 100 yard away in a second.', 'She fell back into her apartment, jumping from the balcony into the inside.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-42_SR', 'question': 'A woman who appears to be about to jump off the balcony of her 20-story apartment building is being caught in a net by a fireman who is running to reach her. There is a 20-story fall below her and nothing else. When she falls, the fireman is still 100 yards away and is not nearly in time. The damage to the woman is not worse than a cruise. How is that even doable?', 'answer': 'She fell back into her apartment, jumping from the balcony into the inside.', 'label': 0, 'choices': ['She fell back into her apartment, jumping from the balcony into the inside.', 'The fireman is well exercised that he reach the woman 100 yard away in a second.', 'The woman is strong enough to not get hurt from falling.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-42_CR', 'question': ""Amy was shocked to see his adorable pet dog perched on the edge of the balcony. She shouted at her pet to come back. This sudden fright made the pet immobile, and\xa0fell over the edge. Although Amy's apartment is on the 17th floor, the family dog was unharmed. How is that even doable?"", 'answer': 'The pet dog fell back into her apartment, jumping from the balcony into the inside. ', 'label': 1, 'choices': ['Amy is well exercised that she can reach to the base in a second to catch the pet.', 'The pet dog fell back into her apartment, jumping from the balcony into the inside. ', 'The pet is strong enough to not get hurt from falling.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}"
"{'id': 'SP-43', 'question': 'One lady ordered a fast delivery pizza and her order came the next year. How is this possible?', 'answer': ""She ordered the pizza for New Year's Day."", 'label': 1, 'choices': ['The pizza store was out of ingredients.', ""She ordered the pizza for New Year's Day."", 'The courier got lost and spent the whole year to find the way.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-43_SR', 'question': 'One woman placed a quick delivery pizza order, and it was delivered the following year. How is that even possible?', 'answer': ""She ordered the pizza for New Year's Day."", 'label': 1, 'choices': ['The pizza store was out of ingredients.', ""She ordered the pizza for New Year's Day."", 'The courier got lost and spent the whole year to find the way.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-43_CR', 'question': 'A man bought a plane ticket to visit his hometown and landed in the next century. How did this happen?', 'answer': ""He boarded the plane on New Year's Eve and arrived after midnight on New Year's Day of the next century."", 'label': 2, 'choices': ['The pilot got lost and spent the whole year to find the way.', 'The plane was too far away', ""He boarded the plane on New Year's Eve and arrived after midnight on New Year's Day of the next century."", 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-44', 'question': 'In Jamaica, if you drop a steel ball weighing five pounds from a height of 45 inches, it falls more rapidly through the water at 40 degrees Fahrenheit than water at 20 degrees Fahrenheit. How is that possible?', 'answer': 'At 20 degrees Fahrenheit the water would be ice.', 'label': 2, 'choices': ['The temperature of stell ball is more consistent with water in 20 degrees Fahrenheit.', 'The temperature of stell ball is more consistent with water in 40 degrees Fahrenheit.', 'At 20 degrees Fahrenheit the water would be ice.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-44_SR', 'question': 'A five-pound steel ball will fall through water at 40 degrees Fahrenheit more quickly than water at 20 degrees Fahrenheit if it is dropped from a height of 45 inches in Jamaica. How is that even doable?', 'answer': 'At 20 degrees Fahrenheit the water would be ice.', 'label': 1, 'choices': ['The temperature of stell ball is more consistent with water in 40 degrees Fahrenheit.', 'At 20 degrees Fahrenheit the water would be ice.', 'The temperature of stell ball is more consistent with water in 20 degrees Fahrenheit.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-44_CR', 'question': 'In Jamaica, some kids can stand on the water at 20 degrees Fahrenheit, how is that possible?', 'answer': 'At 20 degrees Fahrenheit the water would be ice.', 'label': 1, 'choices': ['Kids in Jamaica have lower density than water.', 'At 20 degrees Fahrenheit the water would be ice.', 'The water in Jamaica is not dirty', 'None of above.'], 'choice_order': [1, 0, 2, 3]}"
"{'id': 'SP-45', 'question': ""Danny was driving his semi under an overpass when suddenly he came to a screening halt. Danny wasn't paying enough attention and inadvertently drove under the overpass that was just barely as high as his truck. The semi was wedge so tightly that he could not go forward or backward. A fellow tracker came by and told him how he could easily get the semi out from under the bridge. What did he suggest?"", 'answer': 'He told Danny to let some air out of his tires. ', 'label': 1, 'choices': ['He told Danny to left the bridge. ', 'He told Danny to let some air out of his tires. ', 'He told Danny to overturn the track. ', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-45_SR', 'question': ""Danny had just passed under an overpass in his semi when he abruptly came to a stop. Danny accidentally drove under the overpass that was only just tall enough for his truck because he wasn't paying enough attention. He was unable to move forward or backward in the semi due to how tightly it was wedged. When another tracker passed by, he was told how simple it would be to remove the semi from underneath the bridge. What did he recommend?"", 'answer': 'He told Danny to let some air out of his tires. ', 'label': 1, 'choices': ['He told Danny to left the bridge. ', 'He told Danny to let some air out of his tires. ', 'He told Danny to overturn the track. ', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-45_CR', 'question': ""Mary was enjoying a peaceful paddle in her inflatable kayak on a narrow river. As she turned a bend, she realized that the river became significantly narrower, too narrow for her kayak to pass through. She can't paddle backward due to the strong current. A fellow kayaker on the shore knew how to solve her predicament. What was his suggestion?"", 'answer': 'He suggested that she deflate her kayak slightly.', 'label': 2, 'choices': ['He suggested that she expand the river slightly.', 'He told she to overturn the kayak. ', 'He suggested that she deflate her kayak slightly.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-46', 'question': 'A boy had just got out of the shower and getting ready for his prom, shaved, and with cologne and there was going to be an after-party, and his mom, and dad said to be home for the next sunrise and was home for the next sunrise but with a full-grown beard. How can this be?', 'answer': 'He lives in Alaska and sunrise are every six months.', 'label': 2, 'choices': ['His beard grows in an amazing speed.', 'He went crazy with friends in that unnormal party.', 'He lives in Alaska and sunrise are every six months.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-46_SR', 'question': 'A boy had just finished getting ready for his prom, shaving, applying cologne, and there would be an after-party. His parents had told him to be home for the next sunrise, but he arrived with a full-grown beard instead. How is this possible?', 'answer': 'He lives in Alaska and sunrise are every six months.', 'label': 0, 'choices': ['He lives in Alaska and sunrise are every six months.', 'He went crazy with friends in that unnormal party.', 'His beard grows in an amazing speed.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-46_CR', 'question': 'A man sets out to plant a tree at sunrise and his friend asks him to return by the next moonrise. But when he returns, the tree he planted has already borne fruit. How is this possible?', 'answer': 'He lives in Alaska where a single day and night can last for months. ', 'label': 0, 'choices': ['He lives in Alaska where a single day and night can last for months. ', 'His friends waters the tree very carefully.', 'His tree grows in an amazing speed.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-47', 'question': 'John bet Tom $100 that he can predict the score of the football game before it starts. Tom agrees but loses the bet. Why did Tom lose the bet?', 'answer': 'John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.', 'label': 2, 'choices': ['John possesses an extraordinary ability to see into the future.', 'Tom gave his money to show his kindness.', 'John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-47_SR', 'question': 'Tom and John made a $100 wager that John could correctly predict the outcome of the upcoming football game. Tom concurs, but he loses the wager. What led Tom to lose the wager?', 'answer': 'John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.', 'label': 0, 'choices': ['John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.', 'John possesses an extraordinary ability to see into the future.', 'Tom gave his money to show his kindness.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-47_CR', 'question': 'Tom and John made a $100 wager that John could correctly predict the outcome of the upcoming basketball game. Tom concurs, but he loses the wager. What led Tom to lose the wager?', 'answer': 'John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0.', 'label': 0, 'choices': ['John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0.', 'Tom gave his money to show his kindness.', 'John possesses an extraordinary ability to see into the future.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-48', 'question': 'Why is it so cold on Christmas?', 'answer': ""Because it's in December."", 'label': 1, 'choices': ['Because people are waiting for the New Year.', ""Because it's in December."", 'Because people are celebrating.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-48_SR', 'question': 'Why is Christmas Day so chilly?', 'answer': ""Because it's in December."", 'label': 2, 'choices': ['Because people are celebrating.', 'Because people are waiting for the New Year.', ""Because it's in December."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-48_CR', 'question': 'Why is Independence Day so hot?', 'answer': ""Because it's in July。"", 'label': 1, 'choices': ['Because people are enjoying the firework.', ""Because it's in July。"", 'Because people are celebrating.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}"
"{'id': 'SP-49', 'question': ""Wednesday,Tom and Joe went to a restaurant and ate dinner. When they were done they paid and left. Tom and Joe didn't pay. Who did?"", 'answer': 'Wednesday. The name of the third person in the group, not the day.', 'label': 1, 'choices': ['They found money in their hamburger.', 'Wednesday. The name of the third person in the group, not the day.', 'The restaurant is too expensive.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-49_SR', 'question': ""Wednesday, Tom and Joe had dinner at a restaurant. After finishing, they paid and departed. Joe and Tom don't have to pay. Who paid the bill?"", 'answer': 'Wednesday. The name of the third person in the group, not the day.', 'label': 2, 'choices': ['They found money in their hamburger.', 'The restaurant is too expensive.', 'Wednesday. The name of the third person in the group, not the day.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-49_CR', 'question': 'Friday, Jason and Kobe go to a restaurant for dinner. The waiter gave three sets of knives and forks to their table. Why?', 'answer': 'Friday is also the name of one person, there are three people in total.', 'label': 0, 'choices': ['Friday is also the name of one person, there are three people in total.', 'Kobe likes eating with two knives and two forks.', 'The restaurant is too expensive.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-50', 'question': 'A magician had a water glass that was filled to the top. Holding the glass above his head he let it drop to the carpet without spilling a single drop of water. How could he manage to drop the glass from a height of six feet and not spill any water?', 'answer': 'The glass was filled, but not with water.', 'label': 2, 'choices': ['Surface tension prevent water from spilling. ', 'The glass is too heavy.', 'The glass was filled, but not with water.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-50_SR', 'question': 'A full water glass was in the hands of the magician. Without spilling a single drop of water, he held the glass above his head and allowed it to fall to the carpet. How did he accomplish dropping the glass from a height of six feet without any water spilling?', 'answer': 'The glass was filled, but not with water.', 'label': 0, 'choices': ['The glass was filled, but not with water.', 'The glass is too heavy.', 'Surface tension prevent water from spilling. ', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-50_CR', 'question': 'At a ball, a man was dancing when he unintentionally swung his arm off a glass on the table; oddly, not a drop of wine leaked. How is that possible?', 'answer': 'There is no wine in the glass.', 'label': 0, 'choices': ['There is no wine in the glass.', 'The glass is too heavy.', 'Surface tension prevent wine from spilling. ', 'None of above.'], 'choice_order': [0, 1, 2, 3]}"
"{'id': 'SP-51', 'question': 'Craig died in Florida. Shortly after, Tracy died at sea. Nobody mourned, In fact, everyone was absolute delighted. Why?', 'answer': 'They were both hurricanes.', 'label': 1, 'choices': ['It is a culture traditional.', 'They were both hurricanes.', 'People is getting used to it.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-51_SR', 'question': 'Craig passed away there. Tracy passed away at sea shortly after. No one was sad; in fact, everyone was ecstatic.\xa0Why?', 'answer': 'They were both hurricanes.', 'label': 1, 'choices': ['People is getting used to it.', 'They were both hurricanes.', 'It is a culture traditional.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-51_CR', 'question': 'Morgan is dying near the sea line. Many people witness her death but no one feel sad. Why?', 'answer': 'Morgan is the name of hurricane.', 'label': 0, 'choices': ['Morgan is the name of hurricane.', 'It is a culture traditional.', 'People is getting used to it.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
